,func,ncalls,ccalls,tottime,cumtime,callers
17,"<code object Spatial_score at 0x7f03793b74b0, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/Exploration_part.py"", line 30>",19543,0,193.169527313,193.169527313,
14,"<code object Count_score at 0x7f037921dd30, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/engine_file.py"", line 60>",23678,0,51.904431372000005,51.904431372000005,
8,"<code object Check_for_permut at 0x2a05550, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/engine_file.py"", line 15>",1043487,0,17.063488089,16.525790711000003,"[_lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=264261, reccallcount=0, totaltime=0.057329911000000004, inlinetime=0.057329911000000004), _lsprof.profiler_subentry(code=<code object Retournement_valeur at 0x7f039565ab40, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/pawn_file.py"", line 1>, callcount=1316907, reccallcount=0, totaltime=0.306861698, inlinetime=0.306861698), _lsprof.profiler_subentry(code=""<method 'extend' of 'list' objects>"", callcount=1052646, reccallcount=0, totaltime=0.173505769, inlinetime=0.173505769)]"
37,"<code object Get_all_permutationAble_squares at 0x7f0397998dc0, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/engine_file.py"", line 67>",23696,0,20.673471203000002,2.4533680540000002,"[_lsprof.profiler_subentry(code=<code object where at 0x7f039799b670, file ""<__array_function__ internals>"", line 177>, callcount=23696, reccallcount=0, totaltime=0.223746406, inlinetime=0.06350888), _lsprof.profiler_subentry(code=<code object verify_move at 0x7f0379260270, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/engine_file.py"", line 8>, callcount=1019809, reccallcount=0, totaltime=17.628379905000003, inlinetime=1.139119787), _lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=110687, reccallcount=0, totaltime=0.024944055000000003, inlinetime=0.024944055000000003), _lsprof.profiler_subentry(code=<code object __init__ at 0x7f0395c5fbb0, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/pawn_file.py"", line 8>, callcount=1019809, reccallcount=0, totaltime=0.343032783, inlinetime=0.343032783)]"
15,"<code object verify_move at 0x7f0379260270, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/engine_file.py"", line 8>",1043487,0,18.402293307,1.1819478270000001,"[_lsprof.profiler_subentry(code=<code object Check_for_permut at 0x2a05550, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/engine_file.py"", line 15>, callcount=1043487, reccallcount=0, totaltime=17.063488089, inlinetime=16.525790711000003), _lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=1043487, reccallcount=0, totaltime=0.156857391, inlinetime=0.156857391)]"
9,"<code object Explore_moves at 0x2a3c230, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/Exploration_part.py"", line 84>",23678,23660,268.20234896600005,0.603104869,"[_lsprof.profiler_subentry(code=<code object Spatial_score at 0x7f03793b74b0, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/Exploration_part.py"", line 30>, callcount=19543, reccallcount=0, totaltime=193.169527313, inlinetime=193.169527313), _lsprof.profiler_subentry(code=<code object Explore_moves at 0x2a3c230, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/Exploration_part.py"", line 84>, callcount=23660, reccallcount=23569, totaltime=268.06275789800003, inlinetime=0.600837527), _lsprof.profiler_subentry(code=""<method 'min' of 'numpy.ndarray' objects>"", callcount=3431, reccallcount=0, totaltime=0.055138175000000005, inlinetime=0.0068523180000000005), _lsprof.profiler_subentry(code=""<method 'max' of 'numpy.ndarray' objects>"", callcount=533, reccallcount=0, totaltime=0.005803671000000001, inlinetime=0.001048709), _lsprof.profiler_subentry(code=<code object Get_all_permutationAble_squares at 0x7f0397998dc0, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/engine_file.py"", line 67>, callcount=23678, reccallcount=0, totaltime=20.653328353000003, inlinetime=2.451087713), _lsprof.profiler_subentry(code=<code object verify_move at 0x7f0379260270, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/engine_file.py"", line 8>, callcount=23660, reccallcount=0, totaltime=0.7729697980000001, inlinetime=0.042777201), _lsprof.profiler_subentry(code=<code object Inverts_pawns at 0x7f03793b7230, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/engine_file.py"", line 44>, callcount=47320, reccallcount=0, totaltime=0.252960268, inlinetime=0.153571061), _lsprof.profiler_subentry(code='<built-in method numpy.array>', callcount=7928, reccallcount=0, totaltime=0.074517178, inlinetime=0.074517178), _lsprof.profiler_subentry(code=<code object Count_score at 0x7f037921dd30, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/engine_file.py"", line 60>, callcount=23660, reccallcount=0, totaltime=51.884126752, inlinetime=51.884126752), _lsprof.profiler_subentry(code=""<method 'choice' of 'numpy.random.mtrand.RandomState' objects>"", callcount=3964, reccallcount=0, totaltime=0.27756414500000004, inlinetime=0.125954133), _lsprof.profiler_subentry(code=<code object Undo_move at 0x7f03793c3cf0, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/Player_file.py"", line 20>, callcount=23660, reccallcount=0, totaltime=0.050112123, inlinetime=0.042040691000000005), _lsprof.profiler_subentry(code='<built-in method builtins.len>', callcount=7928, reccallcount=0, totaltime=0.002911069, inlinetime=0.002911069), _lsprof.profiler_subentry(code=""<method 'append' of 'list' objects>"", callcount=47320, reccallcount=0, totaltime=0.014004646, inlinetime=0.014004646), _lsprof.profiler_subentry(code=<code object __init__ at 0x7f0395c5fbb0, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/pawn_file.py"", line 8>, callcount=23660, reccallcount=0, totaltime=0.008154092, inlinetime=0.008154092), _lsprof.profiler_subentry(code=<code object remove_pawn at 0x7f0397b1f330, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/board_file.py"", line 21>, callcount=23660, reccallcount=0, totaltime=0.12463271100000001, inlinetime=0.06616867900000001), _lsprof.profiler_subentry(code=<code object Convert_coord_to_string at 0x7f0397b1f660, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/utils.py"", line 12>, callcount=23660, reccallcount=0, totaltime=0.09633119700000001, inlinetime=0.09633119700000001), _lsprof.profiler_subentry(code=<code object place_pawn at 0x7f0397af1730, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/board_file.py"", line 14>, callcount=23660, reccallcount=0, totaltime=0.157103828, inlinetime=0.111304603), _lsprof.profiler_subentry(code=<code object Score at 0x7f03791f3360, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/Exploration_part.py"", line 26>, callcount=171, reccallcount=0, totaltime=5.8778000000000005e-05, inlinetime=5.8778000000000005e-05)]"
22,"<code object __init__ at 0x7f0395c5fbb0, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/pawn_file.py"", line 8>",1067165,0,0.36184609900000003,0.36184609900000003,
21,"<code object Retournement_valeur at 0x7f039565ab40, file ""/home/benjamin.bouissou@Digital-Grenoble.local/Documents/Git_repos_formation/Project_Othelo/pawn_file.py"", line 1>",1390004,0,0.33060035000000004,0.33060035000000004,
4,<method 'extend' of 'list' objects>,1052646,0,0.173505769,0.173505769,
1,<built-in method builtins.len>,1098771,0,0.16981522000000002,0.16981522000000002,
